1024,1024,10,0.342896,0 
1024,1024,20,0.430123,0 
1024,1024,50,0.525623,0 
1024,1024,100,0.740468,0 
1024,1024,500,2.114096,0 
1024,1024,1000,3.982649,0 
1024,1024,5000,18.228549,0 
1024,1024,10000,41.930541,0 
1024,1024,25000,85.864986,0 

1024,1024,10,0.387216,1 
1024,1024,20,0.425288,1 
1024,1024,50,0.662288,1 
1024,1024,100,0.803539,1 
1024,1024,500,2.513991,1 
1024,1024,1000,4.182765,1 
1024,1024,5000,17.968881,1 
1024,1024,10000,36.370190,1 
1024,1024,25000,88.385223,1 
128,128,5000,0.449109,0 
256,256,5000,1.900149,0 
512,512,5000,4.684450,0 
1024,1024,5000,20.825298,0 
